[2025-08-28 20:19:22,119] INFO: Сервер запущен на порту 8000
[2025-08-28 20:19:35,849] INFO: Сервер остановлен.
[2025-08-28 20:31:55,757] INFO: Сервер запущен на порту 8000
[2025-08-28 20:32:38,718] INFO: Действие: Отдан статический файл: /
[2025-08-28 20:32:38,771] INFO: Действие: Отдан статический файл: /style.css
[2025-08-28 20:32:38,967] INFO: Действие: Отдан статический файл: /script.js
[2025-08-28 20:32:39,327] WARNING: Действие: Файл не найден: /assets/images/dog2.png
[2025-08-28 20:32:39,343] WARNING: Действие: Файл не найден: /assets/images/cat.png
[2025-08-28 20:32:39,588] WARNING: Действие: Файл не найден: /favicon.ico
[2025-08-28 20:32:46,632] INFO: Действие: Отдан статический файл: /
[2025-08-28 20:32:46,658] INFO: Действие: Отдан статический файл: /style.css
[2025-08-28 20:32:46,886] INFO: Действие: Отдан статический файл: /script.js
[2025-08-28 20:32:46,994] WARNING: Действие: Файл не найден: /assets/images/dog2.png
[2025-08-28 20:32:47,199] WARNING: Действие: Файл не найден: /assets/images/bird.png
[2025-08-28 20:32:49,015] INFO: Действие: Отдан статический файл: /
[2025-08-28 20:32:49,032] INFO: Действие: Отдан статический файл: /style.css
[2025-08-28 20:32:49,281] INFO: Действие: Отдан статический файл: /script.js
[2025-08-28 20:32:49,377] WARNING: Действие: Файл не найден: /assets/images/dog2.png
[2025-08-28 20:32:49,600] WARNING: Действие: Файл не найден: /assets/images/cat.png
[2025-08-28 20:33:25,295] INFO: Сервер остановлен.
[2025-08-29 06:22:33,742] INFO: Сервер запущен на порту 8000
[2025-08-29 06:22:43,882] INFO: Сервер остановлен.
[2025-08-29 07:36:15,008] INFO: Сервер запущен на порту 8000
[2025-08-29 07:36:19,703] INFO: Действие: Отдан статический файл: /
[2025-08-29 07:36:21,057] INFO: Действие: Отдан статический файл: /style.css
[2025-08-29 07:36:21,059] INFO: Действие: Отдан статический файл: /script.js
[2025-08-29 07:36:21,919] INFO: Действие: Отдан статический файл: /
[2025-08-29 07:36:21,975] WARNING: Действие: Файл не найден: /assets/images/dog2.png
[2025-08-29 07:36:21,981] WARNING: Действие: Файл не найден: /static/dog3.png
[2025-08-29 07:36:22,166] WARNING: Действие: Файл не найден: /favicon.ico
[2025-08-29 07:36:32,186] INFO: Сервер остановлен.
[2025-08-29 10:26:39,758] INFO: Сервер запущен на порту 8000
[2025-08-29 10:26:44,375] INFO: Действие: Отдан статический файл: /
[2025-08-29 10:26:45,319] INFO: Действие: Отдан статический файл: /style.css
[2025-08-29 10:26:45,322] INFO: Действие: Отдан статический файл: /script.js
[2025-08-29 10:26:45,664] INFO: Действие: Отдан статический файл: /
[2025-08-29 10:26:45,730] WARNING: Действие: Файл не найден: /assets/images/dog2.png
[2025-08-29 10:26:45,732] WARNING: Действие: Файл не найден: /static/bird.png
